Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
Harrison Bader,- - -,Harrison Bader,2018,1514,0.29359765,0.675740163,0.416666666,0.178861788,0.3046953,0.073976221,0.247688243,Harrison Bader,18030,664056
Ha-Seong Kim,SDP,Ha-Seong Kim,2021,1037,0.295267087,0.665553652,0.405755395,0.192805755,0.265625,0.093539054,0.216972034,Ha-Seong Kim,27506,673490
Hernán Pérez,- - -,Hernán Pérez,2018,344,0.252701283,0.577205484,0.484581497,0.189427312,0.33478261,0.055232558,0.27616279,Hernan Perez,5751,541650
Howie Kendrick,WSN,Howie Kendrick,2018,432,0.365794534,0.874449416,0.482035928,0.22754491,0.42814371,0.064814814,0.150462962,Howie Kendrick,4229,435062
Hunter Dozier,KCR,Hunter Dozier,2018,1672,0.308485994,0.723707633,0.382727272,0.202727272,0.3760218,0.069976076,0.265550239,Hunter Dozier,15117,641531
Hunter Pence,- - -,Hunter Pence,2018,362,0.302819899,0.708442522,0.471544715,0.207317073,0.35772358,0.069060773,0.245856353,Hunter Pence,8252,452254
Hunter Renfroe,- - -,Hunter Renfroe,2018,1874,0.319171449,0.754245584,0.397590361,0.167871485,0.37820513,0.068836712,0.260939167,Hunter Renfroe,15464,592669
Ian Desmond,COL,Ian Desmond,2018,712,0.289809311,0.6698255,0.575824175,0.189010989,0.34868421,0.084269662,0.266853932,Ian Desmond,6885,435622
Ian Kinsler,- - -,Ian Kinsler,2018,593,0.30879892,0.715416768,0.385964912,0.197368421,0.30131004,0.072512647,0.145025295,Ian Kinsler,6195,435079
Isaac Paredes,- - -,Isaac Paredes,2020,853,0.326536011,0.752357271,0.372649572,0.17094017,0.30769231,0.101992966,0.189917936,Isaac Paredes,20036,670623
Isiah Kiner-Falefa,- - -,Isiah Kiner-Falefa,2018,1717,0.288533443,0.654843349,0.549846625,0.207055214,0.26172466,0.053581828,0.163657542,Isiah Kiner-Falefa,16512,643396
J.D. Davis,- - -,J.D. Davis,2018,1232,0.337692448,0.77798084,0.497991967,0.226238286,0.34939759,0.097402597,0.275974025,J.D. Davis,16219,605204
J.D. Martinez,- - -,J.D. Martinez,2018,2374,0.360546051,0.855221214,0.406430868,0.226366559,0.42572347,0.088879528,0.248104465,J.D. Martinez,6184,502110
J.T. Realmuto,- - -,J.T. Realmuto,2018,2158,0.343612129,0.806341045,0.428189712,0.197060788,0.36873747,0.072289156,0.216867469,J.T. Realmuto,11739,592663
Jack Mayfield,- - -,Jack Mayfield,2019,309,0.248135614,0.570149082,0.371428571,0.171428571,0.28372093,0.042071197,0.249190938,Jack Mayfield,15402,608686
Jacob Stallings,- - -,Jacob Stallings,2018,1103,0.280705593,0.629367909,0.436213991,0.205761316,0.27913279,0.094288304,0.227561196,Jacob Stallings,13723,607732
JaCoby Jones,DET,JaCoby Jones,2018,761,0.29720546,0.693913289,0.433628318,0.225663716,0.33479212,0.06044678,0.316688567,JaCoby Jones,14818,592444
Jake Burger,- - -,Jake Burger,2021,564,0.331074285,0.777933905,0.455307262,0.189944134,0.37047354,0.053191489,0.289007092,Jake Burger,22275,669394
Jake Marisnick,- - -,Jake Marisnick,2018,552,0.288232082,0.669772097,0.409230769,0.215384615,0.30654762,0.050724637,0.317028985,Jake Marisnick,11339,545350
Jake Meyers,HOU,Jake Meyers,2021,474,0.281950483,0.639423649,0.460481099,0.192439862,0.28282828,0.069620253,0.284810126,Jake Meyers,20308,676694
Jake Rogers,DET,Jake Rogers,2019,439,0.269022134,0.614015274,0.355932203,0.224576271,0.29875519,0.086560364,0.357630979,Jake Rogers,19452,668670
